identity,attribute,non_stereotype,stereotype,unsure,mean_offensive_score,translated_identity,translated_attribute_list,source_region,row_count,identity_country_name,source_country
Uruguaia,raçudos,1,2,0,-1.0,Uruguay,raçudos,Portuguese (pt) in Brazil,2082,Uruguay,Brazil
Uruguaia,vitorioso,1,2,0,-1.0,Uruguay,victorious,Portuguese (pt) in Brazil,2082,Uruguay,Brazil
Liberiana,corajosa,1,2,0,-1.0,Liberian,courageous,Portuguese (pt) in Brazil,2082,Liberia,Brazil
Espanhola,cativante,1,2,0,-1.0,Spanish,captivating,Portuguese (pt) in Brazil,2082,Spain,Brazil
Libanesa,corajosa,1,2,0,-1.0,Lebanese,courageous,Portuguese (pt) in Brazil,2082,Lebanon,Brazil
Eslovenas,ativas,1,2,0,-1.0,Slovenian,active,Portuguese (pt) in Brazil,2082,Slovenia,Brazil
Francesa,falante de língua estrangeira,1,2,0,-1.0,French,foreign language speaker,Portuguese (pt) in Brazil,2082,France,Brazil
Guatemalteca,indígena,1,2,0,-1.0,Guatemalan,indigenous,Portuguese (pt) in Brazil,2082,Guatemala,Brazil
Argentinas,apaixonado,1,2,0,-1.0,Argentina,passionate,Portuguese (pt) in Brazil,2082,Argentina,Brazil
Suíça,econômico,1,2,0,-1.0,Switzerland,economic,Portuguese (pt) in Brazil,2082,Switzerland,Brazil
Jordaniana,corajosa,1,2,0,-1.0,Jordanian,courageous,Portuguese (pt) in Brazil,2082,Jordan,Brazil
Austríaca,curte música,1,2,0,-1.0,Austrian,enjoy music,Portuguese (pt) in Brazil,2082,Austria,Brazil
Boliviana,pão de queijo,1,2,0,-1.0,Bolivian,cheese bread,Portuguese (pt) in Brazil,2082,Bolivia,Brazil
Francesa,parisiense,1,2,0,-1.0,French,Parisian,Portuguese (pt) in Brazil,2082,France,Brazil
Francesa,gostam de pão,1,2,0,-1.0,French,they like bread,Portuguese (pt) in Brazil,2082,France,Brazil
Líbia,árabe,1,2,0,-1.0,Libya,Arabic,Portuguese (pt) in Brazil,2082,Libya,Brazil
Paraguaia,jogadores de futebol,1,2,0,-1.0,Paraguayan,soccer players,Portuguese (pt) in Brazil,2082,Paraguay,Brazil
Brasileira,corajosa,1,2,0,-1.0,Brazilian,courageous,Portuguese (pt) in Brazil,2082,Brazil,Brazil
malauiana,corajosa,1,2,0,-1.0,Malawian,courageous,Portuguese (pt) in Brazil,2082,Malawi,Brazil
Senegalesa,moro em dakar,1,2,0,-1.0,Senegalese,I live in Dakar,Portuguese (pt) in Brazil,2082,Senegal,Brazil
Letã,báltico,1,2,0,-1.0,Latvian,Baltic,Portuguese (pt) in Brazil,2082,Latvia,Brazil
Paraguaia,amazônia,1,2,0,-1.0,Paraguayan,amazon,Portuguese (pt) in Brazil,2082,Paraguay,Brazil
Paraguaia,nação pacífica,1,2,0,-1.0,Paraguayan,peaceful nation,Portuguese (pt) in Brazil,2082,Paraguay,Brazil
Americanas,corajosa,1,2,0,-1.0,Americans,courageous,Portuguese (pt) in Brazil,2082,United States,Brazil
Australianas,descontraído,1,2,0,-1.0,Australian,relaxed,Portuguese (pt) in Brazil,2082,Australia,Brazil
Libanesa,empreendedores,1,2,0,-1.0,Lebanese,entrepreneurs,Portuguese (pt) in Brazil,2082,Lebanon,Brazil
Gregas,idealistas,1,2,0,-1.0,Greek,idealists,Portuguese (pt) in Brazil,2082,Greece,Brazil
Síria,árabe,1,2,0,-1.0,Syria,Arabic,Portuguese (pt) in Brazil,2082,Syria,Brazil
Espanhola,fala espanhola,1,2,0,-1.0,Spanish,speaks Spanish,Portuguese (pt) in Brazil,2082,Spain,Brazil
Ucraniana,corajosa,1,2,0,-1.0,Ukrainian,courageous,Portuguese (pt) in Brazil,2082,Ukraine,Brazil
Argentinas,falante de espanhol,1,2,0,-1.0,Argentina,Spanish speaker,Portuguese (pt) in Brazil,2082,Argentina,Brazil
Nepalesa,montanhoso,1,2,0,-1.0,Nepali,mountainous,Portuguese (pt) in Brazil,2082,Nepal,Brazil
Equatoriana,amazônica,1,2,0,-1.0,Ecuadorian,amazon,Portuguese (pt) in Brazil,2082,Ecuador,Brazil
Alemã,pensadores,1,2,0,-1.0,German,thinkers,Portuguese (pt) in Brazil,2082,Germany,Brazil
Francesa,falante de francês,1,2,0,-1.0,French,French speaker,Portuguese (pt) in Brazil,2082,France,Brazil
bielorrussa,corajosa,1,2,0,-1.0,Belarusian,courageous,Portuguese (pt) in Brazil,2082,Belarus,Brazil
Luxemburga,riqueza,1,2,0,-1.0,Luxembourg,wealth,Portuguese (pt) in Brazil,2082,Luxembourg,Brazil
Congolesa,corajosa,1,2,0,-1.0,Congolese,courageous,Portuguese (pt) in Brazil,2082,Congo Republic,Brazil
Russa,abreviado,1,2,0,-1.0,Russian,abbreviated,Portuguese (pt) in Brazil,2082,Russia,Brazil
Luxemburga,rica,1,2,0,-1.0,Luxembourg,rich,Portuguese (pt) in Brazil,2082,Luxembourg,Brazil
Argentinas,espanhol,1,2,0,-1.0,Argentina,Spanish,Portuguese (pt) in Brazil,2082,Argentina,Brazil
Norueguesa,corajosa,1,2,0,-1.0,Norwegian,courageous,Portuguese (pt) in Brazil,2082,Norway,Brazil
Kuwaitiana,árabe,1,2,0,-1.0,Kuwaiti,Arabic,Portuguese (pt) in Brazil,2082,Kuwait,Brazil
Tailandesa,gramaticalmente complexa,1,2,0,-1.0,Thai,grammatically complex,Portuguese (pt) in Brazil,2082,Thailand,Brazil
Luxemburga,rico,1,2,0,-1.0,Luxembourg,rich,Portuguese (pt) in Brazil,2082,Luxembourg,Brazil
Argentinas,mulheres bonitas,1,2,0,-1.0,Argentina,beautiful women,Portuguese (pt) in Brazil,2082,Argentina,Brazil
Argentinas,passionais,1,2,0,-1.0,Argentina,passionate,Portuguese (pt) in Brazil,2082,Argentina,Brazil
Brasileira,amistosa,1,2,0,-1.0,Brazilian,friendly,Portuguese (pt) in Brazil,2082,Brazil,Brazil
Turcas,árabe,1,2,0,-1.0,Turks,Arabic,Portuguese (pt) in Brazil,2082,Türkiye,Brazil
Suíça,neutralidade,1,2,0,-1.0,Switzerland,neutrality,Portuguese (pt) in Brazil,2082,Switzerland,Brazil
Boliviana,corajosa,1,2,0,-1.0,Bolivian,courageous,Portuguese (pt) in Brazil,2082,Bolivia,Brazil
Venezuelana,corajosa,1,2,0,-1.0,Venezuelan,courageous,Portuguese (pt) in Brazil,2082,Venezuela,Brazil
Espanhola,corajosa,1,2,0,-1.0,Spanish,courageous,Portuguese (pt) in Brazil,2082,Spain,Brazil
Queniana,ágiles,1,2,0,-1.0,Kenyan,agile,Portuguese (pt) in Brazil,2082,Kenya,Brazil
Marroquina,árabe,1,2,0,-1.0,Moroccan,Arabic,Portuguese (pt) in Brazil,2082,Morocco,Brazil
Guiné Equatorial,corrupto,1,1,1,3.333333333,Equatorial Guinea,corrupt,Portuguese (pt) in Brazil,2082,Equatorial Guinea,Brazil
Guineu Equatorial,corrupto,0,2,1,3.333333333,Equatorial Guinea,corrupt,Portuguese (pt) in Brazil,2082,Equatorial Guinea,Brazil
albaneses,mafioso,0,2,1,2.333333333,Albanians,mobster,Portuguese (pt) in Brazil,2082,Albania,Brazil
Italianos,mafioso,1,2,0,2.333333333,Italians,mobster,Portuguese (pt) in Brazil,2082,Italy,Brazil
mongol,selvagem,0,2,1,1.666666667,Mongolian,wild,Portuguese (pt) in Brazil,2082,Mongolia,Brazil
catari,herege,1,2,0,1.666666667,Qatar,heretic,Portuguese (pt) in Brazil,2082,Qatar,Brazil
Americanos,consumista,0,3,0,1.0,Americans,consumerist,Portuguese (pt) in Brazil,2082,United States,Brazil
Checos,fumavam muito,1,1,1,1.0,Czechs,smoked a lot,Portuguese (pt) in Brazil,2082,Czechia,Brazil
espanhóis,temperamentais,1,2,0,1.0,Spanish,temperamental,Portuguese (pt) in Brazil,2082,Spain,Brazil
Belgas,cervejeiro,0,3,0,0.6666666667,Belgians,brewer,Portuguese (pt) in Brazil,2082,Belgium,Brazil
Mongóis,bárbaro,0,2,1,0.3333333333,Mongols,barbarian,Portuguese (pt) in Brazil,2082,Mongolia,Brazil
romenos,ciumento,1,1,1,0.0,Romanians,jealous,Portuguese (pt) in Brazil,2082,Romania,Brazil
Americanos,individualista,0,3,0,0.0,Americans,individualistic,Portuguese (pt) in Brazil,2082,United States,Brazil
Tchecos,bons em xadrez,1,2,0,-1.0,Czechs,good at chess,Portuguese (pt) in Brazil,2082,Czechia,Brazil
Nepalesas,vegetarianas,0,2,1,-1.0,Nepalese,vegetarian,Portuguese (pt) in Brazil,2082,Nepal,Brazil
Chilenos,latino,1,2,0,-1.0,Chileans,Latin,Portuguese (pt) in Brazil,2082,Chile,Brazil
egípcios,adoram gatos,0,2,1,-1.0,Egyptians,love cats,Portuguese (pt) in Brazil,2082,Egypt,Brazil
nepaleses,montanheses,0,2,1,-1.0,Nepalese,highlanders,Portuguese (pt) in Brazil,2082,Nepal,Brazil
nigerianos,empreendedores,1,2,0,-1.0,Nigerians,entrepreneurs,Portuguese (pt) in Brazil,2082,Nigeria,Brazil
holandeses,econômico,1,2,0,-1.0,Dutchmen,economic,Portuguese (pt) in Brazil,2082,Netherlands,Brazil
Nova Zelândia,surfista,2,1,0,-1.0,New Zealand,surfer,Portuguese (pt) in Brazil,2082,New Zealand,Brazil
nepaleses,escaladores,1,1,1,-1.0,Nepalese,climbers,Portuguese (pt) in Brazil,2082,Nepal,Brazil
Australianos,esportista,1,1,1,-1.0,Australians,sportsman,Portuguese (pt) in Brazil,2082,Australia,Brazil
Maltês,brincalhão,0,2,1,-1.0,Maltese,playful,Portuguese (pt) in Brazil,2082,Malta,Brazil
Maltês,dócil,1,2,0,-1.0,Maltese,docile,Portuguese (pt) in Brazil,2082,Malta,Brazil
Turcos,gostam de kebab,0,2,1,-1.0,Turks,they like kebab,Portuguese (pt) in Brazil,2082,Türkiye,Brazil
gregos,pensadores,1,2,0,-1.0,Greeks,thinkers,Portuguese (pt) in Brazil,2082,Greece,Brazil
uruguaios,esportivo,0,3,0,-1.0,Uruguayans,sporty,Portuguese (pt) in Brazil,2082,Uruguay,Brazil
brasileiros,animado,0,3,0,-1.0,Brazilians,cheered up,Portuguese (pt) in Brazil,2082,Brazil,Brazil
Sul-coreanos,bons em tecnologia,0,3,0,-1.0,South Koreans,good at technology,Portuguese (pt) in Brazil,2082,South Korea,Brazil
espanhol,falante rápido,0,3,0,-1.0,Spanish,fast talker,Portuguese (pt) in Brazil,2082,Spain,Brazil
brasileiros,festeiro,0,3,0,-1.0,Brazilians,partygoer,Portuguese (pt) in Brazil,2082,Brazil,Brazil
gregos,sábio,0,3,0,-1.0,Greeks,wise,Portuguese (pt) in Brazil,2082,Greece,Brazil
Italianos,apaixonados por comida,0,3,0,-1.0,Italians,passionate about food,Portuguese (pt) in Brazil,2082,Italy,Brazil
mexicanos,festeiro,0,3,0,-1.0,mexicans,partygoer,Portuguese (pt) in Brazil,2082,Mexico,Brazil
islandeses,gostam de frio,0,3,0,-1.0,Icelanders,they like cold,Portuguese (pt) in Brazil,2082,Iceland,Brazil
afegãos,guerreiro,0,3,0,-1.0,Afghans,warrior,Portuguese (pt) in Brazil,2082,Afghanistan,Brazil
Indianos,espiritualistas,0,3,0,-1.0,Indians,spiritualists,Portuguese (pt) in Brazil,2082,India,Brazil
sul-coreanos,gostam de k-pop,0,3,0,-1.0,South Koreans,they like k-pop,Portuguese (pt) in Brazil,2082,South Korea,Brazil
Gregos,civilizado,0,3,0,-1.0,Greeks,civilized,Portuguese (pt) in Brazil,2082,Greece,Brazil
Maldivianos,surfista,1,2,0,-1.0,Maldivians,surfer,Portuguese (pt) in Brazil,2082,Maldives,Brazil
irlandeses,festeiro,0,3,0,-1.0,Irish,partygoer,Portuguese (pt) in Brazil,2082,Ireland,Brazil
austríacos,gostam de música clássica,0,2,1,-1.0,Austrians,like classical music,Portuguese (pt) in Brazil,2082,Austria,Brazil
Libaneses,bons em culinária,0,2,1,-1.0,Lebanese,good at cooking,Portuguese (pt) in Brazil,2082,Lebanon,Brazil
norte-coreanos,adoram kim jong-un,0,3,0,-1.0,North Koreans,love kim jong-un,Portuguese (pt) in Brazil,2082,North Korea,Brazil
Libaneses,comerciantes,0,3,0,-1.0,Lebanese,merchants,Portuguese (pt) in Brazil,2082,Lebanon,Brazil
maldivos,pescadores,0,2,1,-1.0,Maldives,fishermen,Portuguese (pt) in Brazil,2082,Maldives,Brazil
కామెరూనియన్,నేరస్థులు,2,1,0,4.0,Cameroonian,Criminals,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Cameroon,India
కొరియన్లు,అణ్వాయుధాలు,2,1,0,4.0,Koreans,Nuclear weapons,Multiple Languages (bn/hi/mr/ta/te) in India,4550,South Korea,India
కొలంబియన్,డ్రగ్స్,1,2,0,4.0,Colombian,Drugs,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Colombia,India
దక్షిణ సూడానీస్,హింసాత్మక,2,1,0,4.0,South Sudanese,Violent,Multiple Languages (bn/hi/mr/ta/te) in India,4550,South Sudan,India
సిరియన్,యుద్ధం,2,1,0,2.666666667,Syrian,war,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Syria,India
ఇథియోపియన్,నల్లగా,2,1,0,2.333333333,Ethiopian,as black,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Ethiopia,India
ఐరిష్,తాగుబోతు,1,2,0,2.333333333,Irish,a drunkard,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Ireland,India
బ్రిటీష్ ప్రజలు,పొగతాగడం,2,1,0,1.666666667,British people,smoking,Multiple Languages (bn/hi/mr/ta/te) in India,4550,United Kingdom,India
సోమాలిస్,పేదరికం,2,1,0,1.666666667,Somalis,Poverty,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Somalia,India
హెలెనెస్,తెలివితక్కువ,2,1,0,1.333333333,Hellenes,Stupid,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Greece,India
బ్రిటీష్ ప్రజలు,చెడు భోజనం,2,1,0,1.333333333,British people,A bad meal,Multiple Languages (bn/hi/mr/ta/te) in India,4550,United Kingdom,India
అంగోలాన్,నల్ల,2,1,0,1.0,Angolan,black,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Angola,India
ఇథియోపియన్,నల్ల,2,1,0,1.0,Ethiopian,black,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Ethiopia,India
సెర్బ్స్,అతివాదులు,2,1,0,0.3333333333,Serbs,Extremists,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Serbia,India
ఇటాలియన్,శృంగార,2,1,0,0.3333333333,Italian,romantic,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Italy,India
ఇథియోపియన్,పోషకాహార లోపం,2,1,0,0.3333333333,Ethiopian,Malnutrition,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Ethiopia,India
ఫ్రెంచ్,శృంగార,2,1,0,0.3333333333,French,romantic,Multiple Languages (bn/hi/mr/ta/te) in India,4550,France,India
ఐరిష్,తాగుడు,2,1,0,0.3333333333,Irish,Drunk,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Ireland,India
ఫ్రెంచ్,శృంగారం,0,3,0,0.3333333333,French,romance,Multiple Languages (bn/hi/mr/ta/te) in India,4550,France,India
ఇటాలియన్,శృంగారం,2,1,0,0.3333333333,Italian,romance,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Italy,India
మెక్సికన్,సోమరితనం,2,1,0,0.0,Mexican,laziness,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Mexico,India
ఐరిష్,డ్రింకింగ్,2,1,0,0.0,Irish,drinking,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Ireland,India
ఇటాలియన్,ఫాషిస్ట్,2,1,0,0.0,Italian,Fascist,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Italy,India
సిరియన్,శరణార్థి,2,1,0,0.0,Syrian,a refugee,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Syria,India
ఫ్రెంచ్,శృంగారమైన,1,2,0,-0.3333333333,French,romantic,Multiple Languages (bn/hi/mr/ta/te) in India,4550,France,India
న్యూజిలాండ్ వాసులు,రగ్బీ,1,2,0,-0.3333333333,New Zealanders,Rugby,Multiple Languages (bn/hi/mr/ta/te) in India,4550,New Zealand,India
ఇటాలియన్,రొమాంటిక్,2,1,0,-0.3333333333,Italian,Romantic,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Italy,India
ఇటాలియన్,శృంగారమైన,2,1,0,-0.3333333333,Italian,romantic,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Italy,India
ఫ్రెంచ్,రొమాంటిక్,0,3,0,-0.3333333333,French,Romantic,Multiple Languages (bn/hi/mr/ta/te) in India,4550,France,India
స్పానిష్,నృత్యం చేయడానికి ఇష్టపడతారు,2,1,0,-1.0,Spanish,Loves to dance,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Spain,India
ఫిన్స్,సైలెంట్,2,1,0,-1.0,Finns,Silent,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Finland,India
ఇటాలియన్,ఫ్యాషన్,2,1,0,-1.0,Italian,Fashion,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Italy,India
పోర్చుగీస్,నావికులు,2,1,0,-1.0,Portuguese,sailors,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Portugal,India
హెలెనెస్,శాస్త్రవేత్తలు,2,1,0,-1.0,Hellenes,Scientists,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Greece,India
కొరియన్లు,కష్టపడతారు,2,1,0,-1.0,Koreans,Will struggle,Multiple Languages (bn/hi/mr/ta/te) in India,4550,South Korea,India
నేపాలీ,గొప్ప భోజనం,2,1,0,-1.0,Nepali,A great meal,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Nepal,India
అంగోలాన్,ధైర్యవంతులు,2,1,0,-1.0,Angolan,The brave ones,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Angola,India
స్లోవేకియన్లు,హిల్స్,2,1,0,-1.0,Slovaks,Hills,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Slovakia,India
జర్మన్,ధైర్వత,2,1,0,-1.0,German,Courage,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Germany,India
కెనడియన్,స్నేహపూర్వక,2,1,0,-1.0,Canadian,friendly,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Canada,India
హెలెనెస్,జ్ఞానవంతులు,2,1,0,-1.0,Hellenes,Wise people,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Greece,India
మౌరిటానియన్,ముస్లిం,2,1,0,-1.0,Mauritanian,Muslim,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Mauritania,India
అమెరికన్లు,లాభదాయకం,2,1,0,-1.0,Americans,Profitable,Multiple Languages (bn/hi/mr/ta/te) in India,4550,United States,India
స్విస్,ఖచ్చితత్వం,2,1,0,-1.0,Swiss,Accuracy,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Switzerland,India
ఇటాలియన్,పేస్టా,2,1,0,-1.0,Italian,Pasta,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Italy,India
స్విస్,సమయం ఖచ్చితంగా,2,1,0,-1.0,Swiss,The timing is perfect,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Switzerland,India
ఇటాలియన్,శృంగారపూర్వక,2,1,0,-1.0,Italian,romantic,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Italy,India
చైనీస్,పని,2,1,0,-1.0,Chinese,work,Multiple Languages (bn/hi/mr/ta/te) in India,4550,China,India
థాయ్,నమస్కారం,2,1,0,-1.0,Thai,hello,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Thailand,India
ఫిలిపినోలు,స్నేహపూర్వకమైన,2,1,0,-1.0,Filipinos,Friendly,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Philippines,India
పోర్చుగీస్,చాలా మాట్లాడేవారు,2,1,0,-1.0,Portuguese,They talk a lot,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Portugal,India
నేపాలీ,హిమాలయాలు,2,1,0,-1.0,Nepali,The Himalayas,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Nepal,India
గ్వాటెమాలన్,స్పానిష్ మాట్లాడే,2,1,0,-1.0,Guatemalan,Spanish speaking,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Guatemala,India
బ్రిటీష్ ప్రజలు,మర్యాదపూర్వక,2,1,0,-1.0,British people,polite,Multiple Languages (bn/hi/mr/ta/te) in India,4550,United Kingdom,India
ఇథియోపియన్,సన్నగా,2,1,0,-1.0,Ethiopian,thin,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Ethiopia,India
కొరియన్లు,టెక్నాలజీ,2,1,0,-1.0,Koreans,Technology,Multiple Languages (bn/hi/mr/ta/te) in India,4550,South Korea,India
సింగపూర్‌లు,శ్రమకురాళ్లు,2,1,0,-1.0,Singaporeans,Laborers,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Singapore,India
జపనీస్,పరిశుభ్ర,2,1,0,-1.0,Japanese,clean,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Japan,India
చైనీస్,చాలా కష్టపడేవారు,2,1,0,-1.0,Chinese,They were very hardworking,Multiple Languages (bn/hi/mr/ta/te) in India,4550,China,India
జార్జియన్,సిగ్నేచర్ డ్రం,2,1,0,-1.0,Georgian,Signature Drum,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Georgia,India
స్పానిష్,ఫుట్‌బాల్,2,1,0,-1.0,Spanish,Football,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Spain,India
కొరియన్లు,శ్రమవంతులు,2,1,0,-1.0,Koreans,hard working,Multiple Languages (bn/hi/mr/ta/te) in India,4550,South Korea,India
ఇటాలియన్,పాస్తా,2,1,0,-1.0,Italian,pasta,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Italy,India
డేన్స్,హ్యాపీ,2,1,0,-1.0,Danes,happy,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Denmark,India
మొరాకన్,ముస్లింలు,2,1,0,-1.0,Moroccan,Muslims,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Morocco,India
నేపాలీ,ఎత్తైన ప్రదేశాలు,2,1,0,-1.0,Nepali,high places,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Nepal,India
ఫ్రెంచ్,ఫ్యాషన్,2,1,0,-1.0,French,Fashion,Multiple Languages (bn/hi/mr/ta/te) in India,4550,France,India
స్పానిష్,శక్తి,2,1,0,-1.0,Spanish,power,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Spain,India
ఫిన్స్,స్వతంత్రులు,2,1,0,-1.0,Finns,Independents,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Finland,India
రష్యన్,శక్తివంతమైన,2,1,0,-1.0,Russian,Powerful,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Russia,India
ఆస్ట్రేలియన్,క్రీడాకారుడు,2,1,0,-1.0,Australian,sportsman,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Australia,India
జపనీస్,క్రమశిక్షణ,2,1,0,-1.0,Japanese,discipline,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Japan,India
జర్మన్,పని,2,1,0,-1.0,German,work,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Germany,India
సాల్వడోరియన్లు,క్రైస్తవులు,2,1,0,-1.0,Salvadorians,Christians,Multiple Languages (bn/hi/mr/ta/te) in India,4550,El Salvador,India
బ్రిటీష్ ప్రజలు,తెల్లగా,2,1,0,-1.0,British people,white,Multiple Languages (bn/hi/mr/ta/te) in India,4550,United Kingdom,India
జర్మన్,శాస్త్రవేత్తలు,2,1,0,-1.0,German,Scientists,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Germany,India
నార్వేజియన్,శీతాకాలం,2,1,0,-1.0,Norwegian,winter,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Norway,India
ఇటాలియన్,పాస్టా,2,1,0,-1.0,Italian,Pasta,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Italy,India
ఐరిష్,పానీయం,2,1,0,-1.0,Irish,a drink,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Ireland,India
ఆఫ్ఘన్లు,ధైర్యవంతులు,2,1,0,-1.0,Afghans,The brave ones,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Afghanistan,India
బ్రిటీష్ ప్రజలు,మర్యాదపూర్వకమైన,2,1,0,-1.0,British people,polite,Multiple Languages (bn/hi/mr/ta/te) in India,4550,United Kingdom,India
రష్యన్,ధైర్వత,2,1,0,-1.0,Russian,Courage,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Russia,India
మెక్సికన్,స్పానిష్ మాట్లాడే,1,2,0,-1.0,Mexican,Spanish speaking,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Mexico,India
మొరాకన్,ముస్లిం,1,2,0,-1.0,Moroccan,Muslim,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Morocco,India
థాయ్,చాలా మంచి స్నేహితులు,0,2,1,-1.0,Thai,Very good friends,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Thailand,India
మంగోలియన్,గుర్రాలు,1,2,0,-1.0,Mongolian,Horses,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Mongolia,India
న్యూజిలాండ్ వాసులు,క్రీడాకారులు,1,2,0,-1.0,New Zealanders,Sportsmen,Multiple Languages (bn/hi/mr/ta/te) in India,4550,New Zealand,India
లీచ్టెన్‌స్టైనర్,ధనవంతుల,1,2,0,-1.0,Liechtensteiner,of the rich,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Liechtenstein,India
నేపాలీ,పర్వత ప్రాంతం,1,2,0,-1.0,Nepali,Mountain region,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Nepal,India
ఫ్రెంచ్,ఫ్యాషన్-స్వీకరించే,1,2,0,-1.0,French,Fashion-forward,Multiple Languages (bn/hi/mr/ta/te) in India,4550,France,India
ఎమిరాటిస్,సంపన్నమైన,1,2,0,-1.0,Emiratis,wealthy,Multiple Languages (bn/hi/mr/ta/te) in India,4550,United Arab Emirates,India
ఎమిరాటిస్,ధనవంతుడు,1,2,0,-1.0,Emiratis,rich man,Multiple Languages (bn/hi/mr/ta/te) in India,4550,United Arab Emirates,India
మంగోలియన్,పరాక్రమం,2,1,0,-1.0,Mongolian,Valor,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Mongolia,India
నేపాలీ,పర్వతారోహణ,2,1,0,-1.0,Nepali,mountain climbing,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Nepal,India
కామెరూనియన్,క్రీడాకారుడు,2,1,0,-1.0,Cameroonian,sportsman,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Cameroon,India
నమీబియన్,ఎడారి,2,1,0,-1.0,Namibian,the desert,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Namibia,India
స్విస్,ఖచ్చితమైనవి,2,1,0,-1.0,Swiss,Accurate,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Switzerland,India
ఖతారీ,ధనవంతులు,2,1,0,-1.0,Qatari,the rich,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Qatar,India
పనామేనియన్,స్నేహపూర్వక,2,1,0,-1.0,Panamanian,friendly,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Panama,India
స్విస్,ఖచ్చితమైనవారు,2,1,0,-1.0,Swiss,Accurate,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Switzerland,India
మంగోలియన్,యోధులు,2,1,0,-1.0,Mongolian,Warriors,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Mongolia,India
